Year,Rk,Pk,Tm,Round 1 Player,Round 1 College,Yrs,Totals G,Totals MP,Totals PTS,Totals TRB,Totals AST,Shooting FG%,Shooting 3P%,Shooting FT%,Per Game MP,Per Game PTS,Per Game TRB,Per Game AST,Advanced WS,Advanced WS/48,Advanced BPM,Advanced VORP
2016,1,1,PHI,Ben Simmons\simmobe01,Louisiana State University,,,,,,,,,,,,,,,,,
2016,2,2,LAL,Brandon Ingram\ingrabr01,Duke University,1,79,2279,740,317,166,0.402,0.294,0.621,28.8,9.4,4,2.1,-0.3,-0.007,-3.8,-1.1
2016,3,3,BOS,Jaylen Brown\brownja02,University of California,1,78,1341,515,220,64,0.454,0.341,0.685,17.2,6.6,2.8,0.8,1.5,0.053,-4,-0.7
2016,4,4,PHO,Dragan Bender\bendedr01,,1,43,574,146,103,23,0.354,0.277,0.364,13.3,3.4,2.4,0.5,-0.3,-0.029,-4.3,-0.3
2016,5,5,MIN,Kris Dunn\dunnkr01,Providence College,1,78,1333,293,166,188,0.377,0.288,0.61,17.1,3.8,2.1,2.4,0.1,0.004,-2.2,-0.1
2016,6,6,NOP,Buddy Hield\hieldbu01,University of Oklahoma,1,82,1888,866,269,121,0.426,0.391,0.842,23,10.6,3.3,1.5,1.3,0.032,-2.8,-0.4
2016,7,7,DEN,Jamal Murray\murraja01,University of Kentucky,1,82,1764,811,214,170,0.404,0.334,0.883,21.5,9.9,2.6,2.1,1.4,0.037,-2.6,-0.3
2016,8,8,SAC,Marquese Chriss\chrisma01,University of Washington,1,82,1743,753,348,60,0.449,0.321,0.624,21.3,9.2,4.2,0.7,1.8,0.05,-1.6,0.2
2016,9,9,TOR,Jakob Poeltl\poeltja01,University of Utah,1,54,626,165,165,12,0.583,,0.544,11.6,3.1,3.1,0.2,1.6,0.125,-0.7,0.2
2016,10,10,MIL,Thon Maker\makerth01,,1,57,562,226,114,23,0.459,0.378,0.653,9.9,4,2,0.4,1.3,0.113,-1.5,0.1
2016,11,11,ORL,Domantas Sabonis\sabondo01,Gonzaga University,1,81,1632,479,287,82,0.399,0.321,0.657,20.1,5.9,3.5,1,0.7,0.022,-4.9,-1.2
2016,12,12,UTA,Taurean Prince\princta02,Baylor University,1,59,981,335,157,55,0.4,0.324,0.787,16.6,5.7,2.7,0.9,1.1,0.054,-2.3,-0.1
2016,13,13,PHO,Georgios Papagiannis\papagge01,,1,22,355,124,86,20,0.549,0,0.857,16.1,5.6,3.9,0.9,0.4,0.058,-2.7,-0.1
2016,14,14,CHI,Denzel Valentine\valende01,Michigan State University,1,57,976,291,151,63,0.354,0.351,0.778,17.1,5.1,2.6,1.1,0.6,0.031,-2.8,-0.2
2016,15,15,DEN,Juan Hernangomez\hernaju01,,1,62,842,305,187,29,0.451,0.407,0.75,13.6,4.9,3,0.5,1.8,0.103,-1.3,0.1
2016,16,16,BOS,Guerschon Yabusele\yabusgu01,,,,,,,,,,,,,,,,,,
2016,17,17,MEM,Wade Baldwin\baldwwa01,Vanderbilt University,1,33,405,106,46,61,0.313,0.136,0.838,12.3,3.2,1.4,1.8,-0.4,-0.045,-5.8,-0.4
2016,18,18,DET,Henry Ellenson\ellenhe01,Marquette University,1,19,146,60,41,7,0.359,0.286,0.5,7.7,3.2,2.2,0.4,-0.2,-0.071,-8.2,-0.2
2016,19,19,DEN,Malik Beasley\beaslma01,Florida State University,1,22,165,83,17,11,0.452,0.321,0.8,7.5,3.8,0.8,0.5,0.2,0.057,-3.9,-0.1
